VGGNet16_class_1,VGGNet16_prob_1,VGGNet16_class_2,VGGNet16_prob_2,VGGNet16_class_3,VGGNet16_prob_3,label
bagel,0.33718887,pretzel,0.14181061,French_loaf,0.11602791,banana on rice cakes
mouse,0.8630311,bullet_train,0.028137904,toaster,0.011496676,baseball cap
African_crocodile,0.253067,American_alligator,0.06857177,stole,0.060813714,camouflage_butterfly
tailed_frog,0.19380233,grasshopper,0.14028428,cricket,0.0981224,camouflage_frog
nail,0.30388692,screw,0.27666765,safety_pin,0.09308561,camouflage_gun
leopard,0.6746944,cheetah,0.3050058,jaguar,0.00942768,camouflage_leopard
sleeping_bag,0.13022928,tabby,0.12998769,Egyptian_cat,0.11955834,cat
muzzle,0.33523816,sunglasses,0.16602664,sunglass,0.0708456,dog wearing sunglasses
Border_terrier,0.16221255,Chihuahua,0.14300825,Labrador_retriever,0.05151836,dog
tusker,0.665383,African_elephant,0.26279426,Indian_elephant,0.06758712,elephant
running_shoe,0.44975057,sandal,0.12627883,buckle,0.06268389,footwear
fountain,0.190978,chocolate_sauce,0.14522067,bubble,0.04165011,hammer
goblet,0.42835435,pitcher,0.27390975,vase,0.091345966,hand Xray
alp,0.78708845,cliff,0.11802055,parachute,0.036518026,helicopter
bubble,0.4840279,piggy_bank,0.12815267,pinwheel,0.12067714,horse painting
stretcher,0.93128395,harvester,0.019809023,thresher,0.0141191585,lego helicopter
pedestal,0.343368,brass,0.16527742,fountain,0.15602538,lion statue
lion,0.5280016,tiger,0.061491296,clumber,0.05178738,lion
breakwater,0.30719554,speedboat,0.28926766,lifeboat,0.12654535,motocross
web_site,0.085618265,jigsaw_puzzle,0.05882196,book_jacket,0.057814218,motorbike
warplane,0.30053997,wing,0.23119846,projectile,0.16526191,palne
redshank,0.16681583,American_alligator,0.10224947,spoonbill,0.08971999,person holding umberella
pizza,0.95624065,jigsaw_puzzle,0.023359528,spatula,0.0028252378,pizza
pizza,0.9966505,trifle,0.0014757892,burrito,0.00080815156,pizza_closeup
syringe,0.18560517,lighter,0.13605583,pill_bottle,0.0797879,scissors
hook,0.18164553,crutch,0.09293335,abaya,0.050086997,skeleton Xray
analog_clock,0.703434,web_site,0.10695948,wall_clock,0.08994419,stopwatch
dalmatian,0.09515433,pug,0.03749319,tiger,0.03546475,stuffed toy tiger
cab,0.5872581,go-kart,0.08106786,carousel,0.058914036,taxi
tiger,0.6061394,tiger_cat,0.23514067,chambered_nautilus,0.021502811,tiger
garbage_truck,0.87812537,thresher,0.073351406,harvester,0.028230013,truck_cart
vacuum,0.120803505,iron,0.09232285,violin,0.06585867,violin
goblet,0.53271395,table_lamp,0.15019813,lampshade,0.11699138,wineglass_with_flower
